nmtkp,tgldtgsjp,jumlahsep,tanggal,harilibur
RJTL,6/3/2022,373337,,0.0
RJTL,6/4/2022,223039,,0.0
RJTL,6/5/2022,29013,,0.0
RJTL,6/6/2022,450125,,0.0
RJTL,6/7/2022,417555,,0.0
RJTL,6/8/2022,385482,,0.0
RJTL,6/9/2022,429079,,0.0
RJTL,6/10/2022,425311,,0.0
RJTL,6/11/2022,255781,,0.0
RJTL,6/12/2022,30839,,0.0
RJTL,6/13/2022,519154,,0.0
RJTL,6/14/2022,481718,,0.0
RJTL,6/15/2022,404258,,0.0
RJTL,6/16/2022,422552,,0.0
RJTL,6/17/2022,393046,,0.0
RJTL,6/18/2022,237442,,0.0
RJTL,6/19/2022,30922,,0.0
RJTL,6/20/2022,525781,,0.0
RJTL,6/21/2022,488852,,0.0
RJTL,6/22/2022,441799,,0.0
RJTL,6/23/2022,448151,,0.0
RJTL,6/24/2022,400727,,0.0
RJTL,6/25/2022,238620,,0.0
RJTL,6/26/2022,30016,,0.0
RJTL,6/27/2022,507873,,0.0
RJTL,6/28/2022,468356,,0.0
RJTL,6/29/2022,424992,,0.0
RJTL,6/30/2022,441817,,0.0
RJTL,7/1/2022,355596,,0.0
RJTL,7/2/2022,213989,,0.0
RJTL,7/3/2022,28464,,0.0
RJTL,7/4/2022,457264,,0.0
RJTL,7/5/2022,439241,,0.0
RJTL,7/6/2022,428651,,0.0
RJTL,7/7/2022,434156,,0.0
RJTL,7/8/2022,387886,,0.0
RJTL,7/9/2022,68851,7/9/2022,1.0
RJTL,7/10/2022,24290,,0.0
RJTL,7/11/2022,471108,,0.0
RJTL,7/12/2022,455627,,0.0
RJTL,7/13/2022,454074,,0.0
RJTL,7/14/2022,449751,,0.0
RJTL,7/15/2022,380724,,0.0
RJTL,7/16/2022,213287,,0.0
RJTL,7/17/2022,29194,,0.0
RJTL,7/18/2022,501437,,0.0
RJTL,7/19/2022,467992,,0.0
RJTL,7/20/2022,477687,,0.0
RJTL,7/21/2022,467014,,0.0
RJTL,7/22/2022,409663,,0.0
RJTL,7/23/2022,248772,,0.0
RJTL,7/24/2022,31384,,0.0
RJTL,7/25/2022,508194,,0.0
RJTL,7/26/2022,460867,,0.0
RJTL,7/27/2022,467045,,0.0
RJTL,7/28/2022,465142,,0.0
RJTL,7/29/2022,412158,,0.0
RJTL,7/30/2022,58194,7/30/2022,1.0
RJTL,7/31/2022,35702,,0.0
RJTL,8/1/2022,492056,,0.0
RJTL,8/2/2022,464092,,0.0
RJTL,8/3/2022,429671,,0.0
RJTL,8/4/2022,433094,,0.0
RJTL,8/5/2022,388362,,0.0
RJTL,8/6/2022,238925,,0.0
RJTL,8/7/2022,30960,,0.0
RJTL,8/8/2022,496568,,0.0
RJTL,8/9/2022,452401,,0.0
RJTL,8/10/2022,431359,,0.0
RJTL,8/11/2022,464487,,0.0
RJTL,8/12/2022,415062,,0.0
RJTL,8/13/2022,241979,,0.0
RJTL,8/14/2022,34854,,0.0
RJTL,8/15/2022,534631,,0.0
RJTL,8/16/2022,491927,,0.0
RJTL,8/17/2022,52308,8/17/2022,1.0
RJTL,8/18/2022,509114,,0.0
RJTL,8/19/2022,452109,,0.0
RJTL,8/20/2022,259654,,0.0
RJTL,8/21/2022,34034,,0.0
RJTL,8/22/2022,558400,,0.0
RJTL,8/23/2022,509279,,0.0
RJTL,8/24/2022,441364,,0.0
